2026-04-30 13:35:48.816960+00:00,19.0,30.0,32.0,1121.0,14.0
2026-04-30 13:36:08.823019+00:00,19.0,30.0,32.0,1121.0,14.0
2026-04-30 13:36:28.832631+00:00,19.0,30.0,33.0,1143.0,16.0
2026-04-30 13:36:48.847064+00:00,20.0,31.0,34.0,1092.0,12.0
2026-04-30 13:37:08.854211+00:00,19.0,29.0,33.0,1180.0,22.0
2026-04-30 13:37:28.863138+00:00,20.0,31.0,34.0,1136.0,14.0
2026-04-30 13:37:48.876857+00:00,20.0,31.0,34.0,1166.0,18.0
2026-04-30 13:38:08.883461+00:00,19.0,30.0,33.0,1115.0,20.0
2026-04-30 13:38:28.960728+00:00,19.0,30.0,32.0,1121.0,14.0
2026-04-30 13:38:48.995806+00:00,19.0,30.0,33.0,1115.0,20.0
2026-04-30 13:39:09.004853+00:00,19.0,30.0,33.0,1163.0,22.0
2026-04-30 13:39:21.542103+00:00,20.0,31.0,34.0,1131.0,14.0
